ClassId,AverageSize,DistinctSizesCount,PeakRecordsCount,TotalRecords,StdDev
57499,1316,18,2,20,88.1
57932,57,43,29,108,37.4
60806,55,5,68,94,1.7
62182,642,80,86,770,160.6
62182,1075,16,55,131,72
62220,91,4,11,14,3.1
63075,43,4,349,1084,3
64519,105,26,66,479,5.6
2645,1088,394,3,448,975.7
2645,8281,9,1,9,1713.8
2645,14151,5,1,5,2212.2
3990,140,10,58,108,25.3
3990,355,5,1,5,55.9
3996,3306,12,1,12,5918.2
6203,430,7,3,13,245.7
6694,320,85,14,123,8896.7
7082,106,64,71,544,141.5
8339,573,17,31,122,44.3
8362,97,25,64,274,17.7
8732,632,10,1505,6182,13
8732,763,17,7052,38493,10.2
8732,731,40,77,501,57.3
8827,861,398,97,798,336.9
8827,5380,18,1,18,450.3
8827,8958,2,1,2,238.3
8889,205,4,91,122,12.8
8891,153,21,19,122,26.9
8891,242,3,2,5,41.2
9498,7069,99,2,103,1113.4
9498,19998,3,1,3,3525.5
9651,164,16,69,247,3.7
30306,166,22,4478,13705,20.3
30306,219,90,82,1101,161.9
34786,250,8,14,34,981.1
34786,14610,2,1,2,6727.4
34966,224,239,97,1127,166.8
36261,969,536,30046,1328846,229.9
36261,1871,1150,10689,2306436,331.4
36261,2639,601,761,253562,166.3
36261,4504,185,280,31012,195.2
36261,3877,4917,99,96110,1388.3
36261,10505,2287,9,3486,1988.3
36261,19693,288,3,293,2321.4
36261,27947,99,1,99,2446.4
37872,40,118,9,132,1100.3
37872,11649,3,1,3,2392
38803,11513,10,1,10,167.5
40831,1343,4,1,4,2159.8
42603,84,52,650799,3590722,8.2
42603,180,66,1492,32318,18.8
42603,221,55,5415,68772,12.4
42603,200,43,99,1914,66.9
43795,1802,6,1,6,130.7
44188,33,6,602,2164,7.4
44188,36,14,66,352,5.1
44792,791,63,2,65,458.1
44792,2881,3,1,3,930.9
44961,34,7,16,32,5.9
47040,95,6,2669,6514,16.4
47040,157,7,668,1403,17.6
47040,156,331,99,2970,125.9
47040,1481,39,3,48,350.1
47040,2283,12,2,13,259.2
47040,3713,4,1,4,107.6
47683,158,12,36,80,4.1
48003,28,7,3753341,10948508,1.4
49405,398,8,373,1855,2.7
49405,795,48,244,9323,13.1
49405,820,568,96,5985,169.4
49405,1603,115,3,128,272.1
49405,2400,20,2,22,172.1
49405,3091,3,1,3,178.5
49692,32,8,41,82,2.6
50016,696,5,1,5,683.8
51697,225,10,1,10,52.8
52981,97,18,74,332,11
53191,96,7,3,12,7.3
53220,94,317,57,1144,273.7
53220,1679,64,7,120,382.5
53433,121,33,1330,17421,13.4
53433,459,15,241,2840,3.9
53433,91,115,95,1145,264.8
53433,4222,7,1,7,784.2
53433,6655,4,1,4,758.8
53560,25,8,77,356,3.4
53668,163,128,49,593,183.8
53897,72,47,94,566,17.7
53897,120,20,7,45,13.3
53897,231,2,1,2,23.3
54883,156,140,22,959,48.2
57888,374,5,3,9,31
60916,2057,1139,9,1887,714
60916,5705,278,3,299,730.9
61951,43,505,74,1258,335.7
61951,2213,46,2,48,425.5
61951,4078,3,1,3,838.8
62144,11789,162,3,188,160.2
62144,12232,113,4,138,133.9
63379,451,39,81167,357883,16.3
63379,282,27,67,166,81.4
63379,440,56,99,1079,36.4
63432,19220,9,1,9,2325.2
64030,127,45,14095,46467,18.3
64030,198,999,99,9138,279.5
64030,1438,184,4,262,160.8
64030,3402,6,1,6,197.6
64030,4495,5,1,5,283.9
64592,683,120,96,2193,21.8
64592,821,18,4,30,54.8
2,14678,23141,8,41095,9260
2463,76,15,44,76,5.7
2923,77,4,5,15,3.5
3562,15092,104,9,187,715.7
3562,16812,129,9,197,1070.9
3914,238,9,3,15,43.7
5006,84,20,81,172,15.4
6125,1201,43,2,48,1787.6
6594,7639,14,1,14,9556.9
7166,123,6,1827,5802,50.7
7166,273,5,1899,4656,33.7
7166,391,7079,96,20129,3032.9
7166,23749,1117,3,1158,4734.6
8261,318,30,7,56,58.8
8261,3292,549,16,1012,482.5
8273,3708,16,1,16,4335.3
8366,398,369,88,1729,1314.3
8366,5104,92,4,116,827.5
8617,106,17,1310,5773,31.7
8617,151,4298,96,12087,2945.2
8617,23141,408,2,415,4673.7
9478,793,10,2,18,566
13064,713,9,647,5533,4.1
13064,730,88,589,22736,27.8
13064,805,13,128,1477,32.3
13064,1023,1690,99,13718,575.5
13064,4938,887,5,1243,520.6
13064,11609,21,1,21,833.3
13064,13522,15,1,15,1025.9
31056,46,5,44,73,2.1
34683,253,56,24,133,51.9
34683,465,32,3,39,81
36106,313,77,73,1100,43.4
36106,681,41,18,129,58.9
38736,67,31,88,453,5.2
40822,144,17,7069,63348,4.5
40822,137,15,75,162,21.4
41368,89,19,1799,17525,4.8
41368,79,374,88,1035,313.3
41368,1666,25,2,26,381.9
41368,3980,7,1,7,493.5
42795,45,6,4185,13867,1.7
42795,44,5,80,150,4.1
43196,3819,12,6,22,8578
43213,219,26,22,107,11
43213,406,3,2,4,7.7
44190,187,6,127,665,10.9
44190,84,23,25,118,40.2
44190,195,83,95,3062,18
44190,250,64,61,734,15.1
46126,718,3,152,447,0.8
46126,818,2,150,260,1.5
46126,693,387,90,5190,149.1
46126,1015,258,55,1750,144.5
46126,2442,2,1,2,127.3
46246,39,218,24,377,860.2
46246,7588,4,1,4,2465.8
51160,144,29,8,104,9.8
51356,256,46,7,81,66.9
51356,654,4,1,4,108
52262,527,17,240,2745,14.5
52262,620,100,521,23091,34.1
52262,774,114,180,16207,34.4
52262,1463,4592,98,47735,1067
52262,11463,654,3,687,2270.3
52262,19523,310,2,315,2187.4
52262,28432,165,2,168,2245.4
52411,1370,1045,63,7636,312.7
52411,5162,166,3,180,520.1
52411,8054,29,1,29,694.8
52612,27,12,11883,51823,3.6
52995,58,6,11,28,1.6
57018,87,6,2,8,3.1
57485,294,52,7450,153301,12.3
57485,275,26,87,559,22.5
57786,511,1256,5552,827237,348.1
57786,2295,1261,311,246321,359
57786,3328,618,181,73841,232.7
57786,7150,10998,99,347520,2926.9
57786,17857,9140,19,38711,2565
58498,342,33,11629,118390,5.3
58498,664,30,233,4588,14.5
58498,594,104,99,3162,106
58843,81,4,2,5,1.3
60206,158,8,83,162,14
60206,665,2,1,2,36.8
61021,4021,6,1,6,1840.3
62541,1211,192,6036,261599,44.8
62541,1517,245,7074,250406,46.6
62541,1811,46,197,6223,114.8
62541,1928,2752,99,26128,864
62541,5133,2279,19,8479,679.7
62848,163,21,62637,137049,20.2
62848,231,132,82,1113,79.1
63149,232,15,6,40,5.4
63489,178,49,63587,265756,11.9
63489,234,35,7676,30073,11.6
63489,206,64,96,1572,39.5
63489,288,97,52,758,26.5
64591,55,15,33,97,8
2332,86,28,15,143,8.9
3755,358,41,8,67,61.6
5004,161,43,24445,134855,12.3
5004,171,26,82,532,20.8
5751,7359,6,1,6,7033.9
7068,822,10,330,2428,3.4
7068,627,2,1,2,21.2
7068,823,29,98,595,10
7219,63,5,20,39,3.4
8358,177,19,74,431,6.5
8358,359,2,1,2,0.7
8665,755,39,3,49,729.8
8808,1368,1861,70,6308,2261.1
8808,24712,169,1,169,4237.8
9441,579,28,39,282,6.8
30845,502,5,1,5,49.1
33171,53,10,1073,3940,7.1
33171,58,16,61,257,7.9
34620,574,41,5,68,25.7
34620,676,6,1,6,31.4
34850,57,4,87,103,5.3
35675,102,306,43,1000,290.2
35675,32136,2,1,2,77.1
37868,1278,295,8,570,142.1
37868,2751,2,2,3,540.4
37868,3344,5,10,15,87.7
37868,5794,2,1,2,38.9
38005,35,10,84,270,3
38209,504,7,2,8,124.2
38555,94,78,2934,51329,17.8
38555,152,4284,91,21453,1706.5
38555,15470,395,4,484,3049.8
38555,25041,151,3,170,2192.7
41310,138,16,394,2522,15.3
41310,155,40,97,2023,16.5
41310,184,41,76,575,8.3
41999,744,48,2,51,414.6
42532,2598,3761,15,10403,1391.7
42532,10259,440,4,471,1937.3
42634,60,24,1179,11842,7.2
42634,52,10,88,292,11.6
43430,31,6,1435,2960,15.7
43430,111,8,1157,2602,10.4
43430,127,4208,97,10040,3896.8
43430,21665,535,2,547,4302.8
43650,268,3,480,698,305.9
43650,1215,108,223,14795,238.5
43650,1908,103,206,12787,191.3
43650,3330,9924,99,165404,2019.1
43650,14722,4918,7,7170,3051.7
43650,25763,1533,4,1688,3138.4
44364,25,10,22,62,5.1
46979,846,43,13,98,824.6
47420,31,4,3,11,4.1
50237,249,31,7,61,27.6
50237,322,10,1,10,42.5
51831,264,75,13065,221423,14.8
51831,322,23,85,438,5.2
52432,121,289,41,1026,951.9
52432,8283,61,1,61,1536.1
52433,196,5,13,17,466.3
